Kategorie: Gesundheit

Monat,influenza: (Österreich)
2004-01,47
2004-02,12
2004-03,30
2004-04,18
2004-05,16
2004-06,11
2004-07,11
2004-08,11
2004-09,10
2004-10,29
2004-11,9
2004-12,27
2005-01,11
2005-02,100
2005-03,21
2005-04,16
2005-05,7
2005-06,7
2005-07,25
2005-08,20
2005-09,36
2005-10,88
2005-11,22
2005-12,6
2006-01,38
2006-02,26
2006-03,41
2006-04,25
2006-05,5
2006-06,5
2006-07,8
2006-08,10
2006-09,17
2006-10,16
2006-11,13
2006-12,8
2007-01,23
2007-02,46
2007-03,26
2007-04,9
2007-05,8
2007-06,19
2007-07,8
2007-08,20
2007-09,11
2007-10,10
2007-11,23
2007-12,16
2008-01,60
2008-02,27
2008-03,12
2008-04,5
2008-05,8
2008-06,10
2008-07,6
2008-08,8
2008-09,8
2008-10,16
2008-11,13
2008-12,18
2009-01,73
2009-02,26
2009-03,12
2009-04,39
2009-05,29
2009-06,13
2009-07,18
2009-08,15
2009-09,15
2009-10,40
2009-11,69
2009-12,25
2010-01,18
2010-02,8
2010-03,11
2010-04,5
2010-05,7
2010-06,6
2010-07,4
2010-08,3
2010-09,9
2010-10,12
2010-11,12
2010-12,12
2011-01,30
2011-02,39
2011-03,18
2011-04,7
2011-05,8
2011-06,4
2011-07,3
2011-08,5
2011-09,4
2011-10,11
2011-11,12
2011-12,8
2012-01,10
2012-02,32
2012-03,29
2012-04,11
2012-05,5
2012-06,9
2012-07,3
2012-08,5
2012-09,10
2012-10,12
2012-11,11
2012-12,8
2013-01,37
2013-02,56
2013-03,35
2013-04,16
2013-05,5
2013-06,6
2013-07,4
2013-08,2
2013-09,7
2013-10,13
2013-11,15
2013-12,15
2014-01,14
2014-02,26
2014-03,26
2014-04,12
2014-05,6
2014-06,8
2014-07,3
2014-08,5
2014-09,6
2014-10,12
2014-11,11
2014-12,13
2015-01,34
2015-02,66
2015-03,44
2015-04,17
2015-05,7
2015-06,6
2015-07,3
2015-08,5
2015-09,6
2015-10,12
2015-11,15
2015-12,12
2016-01,26
2016-02,80
2016-03,41
2016-04,16
2016-05,6
2016-06,10
2016-07,2
2016-08,6
2016-09,7
2016-10,16
2016-11,21
