"","x"
"1",573.89
"2",577.88
"3",637.86
"4",972.36
"5",700.36
"6",667.63
"7",639.28
"8",1120
"9",847.42
"10",805.61
"11",851.3
"12",1430
"13",1080
"14",1100
"15",1130
"16",1950
"17",1530
"18",1390
"19",1460
"20",2540
"21",1900
"22",1750
"23",1860
"24",2980
"25",2280
"26",2140
"27",2310
"28",3990
"29",3020
"30",2890
"31",3260
"32",5670
"33",4140
"34",4060
"35",4260
"36",6700
"37",4890
"38",4650
"39",5450
"40",9520
"41",7130
"42",6570
"43",7560
"44",12950
"45",9860
"46",9910
"47",10880
"48",17430
"49",13190
"50",12830
"51",13810
"52",21270
"53",16070
"54",15700
"55",17090
"56",25590
"57",19740
"58",19340
"59",20580
"60",29330
"61",22720
"62",23190
"63",25360
"64",35750
